Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 8 	 16																																																																						2.186470	0.000000	0.000000	1.457646	0.000000	3.644117																																																																																											-7.288234	
 8 	 17																																																																						2.186470	0.000000	0.000000	1.457646	0.000000	3.644117																																																																																											-7.288234	
 8 	 18																																																																						1.611084	0.000000	0.000000	1.074056	0.000000	2.685141																																																																																											-5.370281	
 8 	 19																																																																						1.150772	0.000000	0.000000	0.767181	0.000000	1.917953																																																																																											-3.835906	
 8 	 20																																																																						0.862951	0.000000	0.000000	0.575301	0.000000	1.438252																																																																																											-2.876505	
 8 	 21																																																																						0.574974	0.000000	0.000000	0.383316	0.000000	0.958291																																																																																											-1.916582	
 8 	 22																																																																						0.368297	0.000000	0.000000	0.245531	0.000000	0.613829																																																																																											-1.227657	
 8 	 23																																																																						0.230186	0.000000	0.000000	0.153457	0.000000	0.383643																																																																																											-0.767286	
 8 	 24																																																																						0.092074	0.000000	0.000000	0.061383	0.000000	0.153457																																																																																											-0.306914	
 9 	 1																																																																						0.057497	0.000000	0.000000	0.038332	0.000000	0.095829																																																																																											-0.191658	
 9 	 2																																																																						0.023019	0.000000	0.000000	0.015346	0.000000	0.038364																																																																																											-0.076729	
 9 	 3																																																																						0.011460	0.000000	0.000000	0.007640	0.000000	0.019101																																																																																											-0.038201	
 9 	 4																																																																						0.138111	0.000000	0.000000	0.092074	0.000000	0.230186																																																																																											-0.460371	
 9 	 5																																																																						0.368297	0.000000	0.000000	0.245531	0.000000	0.613829																																																																																											-1.227657	
 9 	 6																																																																						0.920743	0.000000	0.000000	0.613828	0.000000	1.534571																																																																																											-3.069143	
 9 	 7																																																																						1.783694	0.000000	0.000000	1.189129	0.000000	2.972824																																																																																											-5.945647	
 9 	 8																																																																						1.553538	0.000000	0.000000	1.035691	0.000000	2.589230																																																																																											-5.178460	
 9 	 9																																																																						1.438465	0.000000	0.000000	0.958976	0.000000	2.397441																																																																																											-4.794882	
 9 	 10																																																																						1.611084	0.000000	0.000000	1.074056	0.000000	2.685141																																																																																											-5.370281	
 9 	 11																																																																						1.841231	0.000000	0.000000	1.227486	0.000000	3.068718																																																																																											-6.137436	
 9 	 12																																																																						2.025360	0.000000	0.000000	1.350239	0.000000	3.375600																																																																																											-6.751199	
 9 	 13																																																																						1.841231	0.000000	0.000000	1.227486	0.000000	3.068718																																																																																											-6.137436	
 9 	 14																																																																						1.864249	0.000000	0.000000	1.242832	0.000000	3.107082																																																																																											-6.214165	
 9 	 15																																																																						2.094406	0.000000	0.000000	1.396270	0.000000	3.490676																																																																																											-6.981352	
 9 	 16																																																																						2.186470	0.000000	0.000000	1.457646	0.000000	3.644117																																																																																											-7.288234	
 9 	 17																																																																						2.186470	0.000000	0.000000	1.457646	0.000000	3.644117																																																																																											-7.288234	
 9 	 18																																																																						1.611084	0.000000	0.000000	1.074056	0.000000	2.685141																																																																																											-5.370281	
 9 	 19																																																																						1.150772	0.000000	0.000000	0.767181	0.000000	1.917953																																																																																											-3.835906	
 9 	 20																																																																						0.862951	0.000000	0.000000	0.575301	0.000000	1.438252																																																																																											-2.876505	
 9 	 21																																																																						0.574974	0.000000	0.000000	0.383316	0.000000	0.958291																																																																																											-1.916582	
 9 	 22																																																																						0.368297	0.000000	0.000000	0.245531	0.000000	0.613829																																																																																											-1.227657	
 9 	 23																																																																						0.230186	0.000000	0.000000	0.153457	0.000000	0.383643																																																																																											-0.767286	
 9 	 24																																																																						0.092074	0.000000	0.000000	0.061383	0.000000	0.153457																																																																																											-0.306914	
 10 	 1																																																																						0.057497	0.000000	0.000000	0.038332	0.000000	0.095829																																																																																											-0.191658	
 10 	 2																																																																						0.023019	0.000000	0.000000	0.015346	0.000000	0.038364																																																																																											-0.076729	
 10 	 3																																																																						0.011460	0.000000	0.000000	0.007640	0.000000	0.019101																																																																																											-0.038201	
 10 	 4																																																																						0.138111	0.000000	0.000000	0.092074	0.000000	0.230186																																																																																											-0.460371	
 10 	 5																																																																						0.368297	0.000000	0.000000	0.245531	0.000000	0.613829																																																																																											-1.227657	
 10 	 6																																																																						0.920743	0.000000	0.000000	0.613828	0.000000	1.534571																																																																																											-3.069143	
 10 	 7																																																																						1.783694	0.000000	0.000000	1.189129	0.000000	2.972824																																																																																											-5.945647	
 10 	 8																																																																						1.553538	0.000000	0.000000	1.035691	0.000000	2.589230																																																																																											-5.178460	
 10 	 9																																																																						1.438465	0.000000	0.000000	0.958976	0.000000	2.397441																																																																																											-4.794882	
 10 	 10																																																																						1.611084	0.000000	0.000000	1.074056	0.000000	2.685141																																																																																											-5.370281	
 10 	 11																																																																						1.841231	0.000000	0.000000	1.227486	0.000000	3.068718																																																																																											-6.137436	
 10 	 12																																																																						2.025360	0.000000	0.000000	1.350239	0.000000	3.375600																																																																																											-6.751199	
 10 	 13																																																																						1.841231	0.000000	0.000000	1.227486	0.000000	3.068718																																																																																											-6.137436	
 10 	 14																																																																						1.864249	0.000000	0.000000	1.242832	0.000000	3.107082																																																																																											-6.214165	
 10 	 15																																																																						2.094406	0.000000	0.000000	1.396270	0.000000	3.490676																																																																																											-6.981352	
 10 	 16																																																																						2.186470	0.000000	0.000000	1.457646	0.000000	3.644117																																																																																											-7.288234	
 10 	 17																																																																						2.186470	0.000000	0.000000	1.457646	0.000000	3.644117																																																																																											-7.288234	
 10 	 18																																																																						1.611084	0.000000	0.000000	1.074056	0.000000	2.685141																																																																																											-5.370281	
 10 	 19																																																																						1.150772	0.000000	0.000000	0.767181	0.000000	1.917953																																																																																											-3.835906	
 10 	 20																																																																						0.862951	0.000000	0.000000	0.575301	0.000000	1.438252																																																																																											-2.876505	
 10 	 21																																																																						0.574974	0.000000	0.000000	0.383316	0.000000	0.958291																																																																																											-1.916582	
 10 	 22																																																																						0.368297	0.000000	0.000000	0.245531	0.000000	0.613829																																																																																											-1.227657	
 10 	 23																																																																						0.230186	0.000000	0.000000	0.153457	0.000000	0.383643																																																																																											-0.767286	
 10 	 24																																																																						0.092074	0.000000	0.000000	0.061383	0.000000	0.153457																																																																																											-0.306914	
 11 	 1																																																																						0.057497	0.000000	0.000000	0.038332	0.000000	0.095829																																																																																											-0.191658	
 11 	 2																																																																						0.023019	0.000000	0.000000	0.015346	0.000000	0.038364																																																																																											-0.076729	
 11 	 3																																																																						0.011460	0.000000	0.000000	0.007640	0.000000	0.019101																																																																																											-0.038201	
 11 	 4																																																																						0.138111	0.000000	0.000000	0.092074	0.000000	0.230186																																																																																											-0.460371	
 11 	 5																																																																						0.368297	0.000000	0.000000	0.245531	0.000000	0.613829																																																																																											-1.227657	
 11 	 6																																																																						0.920743	0.000000	0.000000	0.613828	0.000000	1.534571																																																																																											-3.069143	
 11 	 7																																																																						1.783694	0.000000	0.000000	1.189129	0.000000	2.972824																																																																																											-5.945647	
 11 	 8																																																																						1.553538	0.000000	0.000000	1.035691	0.000000	2.589230																																																																																											-5.178460	
 11 	 9																																																																						1.438465	0.000000	0.000000	0.958976	0.000000	2.397441																																																																																											-4.794882	
 11 	 10																																																																						1.611084	0.000000	0.000000	1.074056	0.000000	2.685141																																																																																											-5.370281	
 11 	 11																																																																						1.841231	0.000000	0.000000	1.227486	0.000000	3.068718																																																																																											-6.137436	
 11 	 12																																																																						2.025360	0.000000	0.000000	1.350239	0.000000	3.375600																																																																																											-6.751199	
 11 	 13																																																																						1.841231	0.000000	0.000000	1.227486	0.000000	3.068718																																																																																											-6.137436	
 11 	 14																																																																						1.864249	0.000000	0.000000	1.242832	0.000000	3.107082																																																																																											-6.214165	
 11 	 15																																																																						2.094406	0.000000	0.000000	1.396270	0.000000	3.490676																																																																																											-6.981352	
 11 	 16																																																																						2.186470	0.000000	0.000000	1.457646	0.000000	3.644117																																																																																											-7.288234	
 11 	 17																																																																						2.186470	0.000000	0.000000	1.457646	0.000000	3.644117																																																																																											-7.288234	
 11 	 18																																																																						1.611084	0.000000	0.000000	1.074056	0.000000	2.685141																																																																																											-5.370281	
 11 	 19																																																																						1.150772	0.000000	0.000000	0.767181	0.000000	1.917953																																																																																											-3.835906	
 11 	 20																																																																						0.862951	0.000000	0.000000	0.575301	0.000000	1.438252																																																																																											-2.876505	
 11 	 21																																																																						0.574974	0.000000	0.000000	0.383316	0.000000	0.958291																																																																																											-1.916582	
 11 	 22																																																																						0.368297	0.000000	0.000000	0.245531	0.000000	0.613829																																																																																											-1.227657	
 11 	 23																																																																						0.230186	0.000000	0.000000	0.153457	0.000000	0.383643																																																																																											-0.767286	
 11 	 24																																																																						0.092074	0.000000	0.000000	0.061383	0.000000	0.153457																																																																																											-0.306914	
 12 	 1																																																																						0.057497	0.000000	0.000000	0.038332	0.000000	0.095829																																																																																											-0.191658	
 12 	 2																																																																						0.023019	0.000000	0.000000	0.015346	0.000000	0.038364																																																																																											-0.076729	
 12 	 3																																																																						0.011460	0.000000	0.000000	0.007640	0.000000	0.019101																																																																																											-0.038201	
 12 	 4																																																																						0.138111	0.000000	0.000000	0.092074	0.000000	0.230186																																																																																											-0.460371	
 12 	 5																																																																						0.368297	0.000000	0.000000	0.245531	0.000000	0.613829																																																																																											-1.227657	
 12 	 6																																																																						0.920743	0.000000	0.000000	0.613828	0.000000	1.534571																																																																																											-3.069143	
 12 	 7																																																																						1.783694	0.000000	0.000000	1.189129	0.000000	2.972824																																																																																											-5.945647	
 12 	 8																																																																						1.553538	0.000000	0.000000	1.035691	0.000000	2.589230																																																																																											-5.178460	
 12 	 9																																																																						1.438465	0.000000	0.000000	0.958976	0.000000	2.397441																																																																																											-4.794882	
 12 	 10																																																																						1.611084	0.000000	0.000000	1.074056	0.000000	2.685141																																																																																											-5.370281	
 12 	 11																																																																						1.841231	0.000000	0.000000	1.227486	0.000000	3.068718																																																																																											-6.137436	
 12 	 12																																																																						2.025360	0.000000	0.000000	1.350239	0.000000	3.375600																																																																																											-6.751199	
 12 	 13																																																																						1.841231	0.000000	0.000000	1.227486	0.000000	3.068718																																																																																											-6.137436	
 12 	 14																																																																						1.864249	0.000000	0.000000	1.242832	0.000000	3.107082																																																																																											-6.214165	
 12 	 15																																																																						2.094406	0.000000	0.000000	1.396270	0.000000	3.490676																																																																																											-6.981352	
 12 	 16																																																																						2.186470	0.000000	0.000000	1.457646	0.000000	3.644117																																																																																											-7.288234	
 12 	 17																																																																						2.186470	0.000000	0.000000	1.457646	0.000000	3.644117																																																																																											-7.288234	
 12 	 18																																																																						1.611084	0.000000	0.000000	1.074056	0.000000	2.685141																																																																																											-5.370281	
 12 	 19																																																																						1.150772	0.000000	0.000000	0.767181	0.000000	1.917953																																																																																											-3.835906	
 12 	 20																																																																						0.862951	0.000000	0.000000	0.575301	0.000000	1.438252																																																																																											-2.876505	
 12 	 21																																																																						0.574974	0.000000	0.000000	0.383316	0.000000	0.958291																																																																																											-1.916582	
 12 	 22																																																																						0.368297	0.000000	0.000000	0.245531	0.000000	0.613829																																																																																											-1.227657	
 12 	 23																																																																						0.230186	0.000000	0.000000	0.153457	0.000000	0.383643																																																																																											-0.767286	
 12 	 24																																																																						0.092074	0.000000	0.000000	0.061383	0.000000	0.153457																																																																																											-0.306914	
