Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																0.000000		1.119976													-0.000030																																																														0.000000																						-0.000001																																													-0.003671	0.003595					-1.119868	
 1 	 2																0.000000		1.119977													-0.000030																																																														0.000000																						-0.000001																																													-0.003673	0.003595					-1.119868	
 1 	 3																0.000000		1.119940													-0.000030																																																														0.000000																						-0.000001																																													-0.003655	0.003615					-1.119868	
 1 	 4																0.000000		1.119605													-0.000030																																																														0.000000																						-0.000001																																													-0.003501	0.003795					-1.119868	
 1 	 5																0.000000		1.119974													-0.000030																																																														0.000000																						-0.000001																																													-0.003671	0.003596					-1.119868	
 1 	 6																0.000000		1.120061													-0.000030																																																														0.000000																						-0.000001																																													-0.003715	0.003553					-1.119868	
 1 	 7																0.000000		1.120112													-0.000031																																																														0.000000																						-0.000001																																													-0.003743	0.003531					-1.119868	
 1 	 8																0.000000		1.119730													-0.000030																																																														0.000000																						-0.000001																																													-0.003553	0.003722					-1.119868	
 1 	 9																0.000000		1.119748													-0.000030																																																														0.000000																						-0.000001																																													-0.003560	0.003712					-1.119868	
 1 	 10																0.000000		1.119791													-0.000030																																																														0.000000																						-0.000001																																													-0.003580	0.003689					-1.119868	
 1 	 11																0.000000		1.119837													-0.000030																																																														0.000000																						-0.000001																																													-0.003601	0.003664					-1.119868	
 1 	 12																0.000000		1.119935													-0.000030																																																														0.000000																						-0.000001																																													-0.003650	0.003614					-1.119868	
 1 	 13																0.000000		1.120057													-0.000030																																																														0.000000																						-0.000001																																													-0.003712	0.003554					-1.119868	
 1 	 14																0.000000		1.119918													-0.000030																																																														0.000000																						-0.000001																																													-0.003641	0.003622					-1.119868	
 1 	 15																0.000000		1.119908													-0.000030																																																														0.000000																						-0.000001																																													-0.003636	0.003628					-1.119868	
 1 	 16																0.000000		1.119921													-0.000030																																																														0.000000																						-0.000001																																													-0.003643	0.003622					-1.119868	
 1 	 17																0.000000		1.119905													-0.000030																																																														0.000000																						-0.000001																																													-0.003635	0.003629					-1.119868	
 1 	 18																0.000000		1.119898													-0.000030																																																														0.000000																						-0.000001																																													-0.003631	0.003632					-1.119868	
 1 	 19																0.000000		1.119908													-0.000030																																																														0.000000																						-0.000001																																													-0.003636	0.003627					-1.119868	
 1 	 20																0.000000		1.119868													-0.000030																																																														0.000000																						-0.000001																																													-0.003616	0.003647					-1.119868	
 1 	 21																0.000000		1.119854													-0.000030																																																														0.000000																						-0.000001																																													-0.003609	0.003654					-1.119868	
 1 	 22																0.000000		1.119861													-0.000030																																																														0.000000																						-0.000001																																													-0.003612	0.003651					-1.119868	
 1 	 23																0.000000		1.119928													-0.000030																																																														0.000000																						-0.000001																																													-0.003648	0.003619					-1.119868	
 1 	 24																0.000000		1.119983													-0.000030																																																														0.000000																						-0.000001																																													-0.003675	0.003591					-1.119868	
 2 	 1																0.000000		1.120168													-0.000027																																																														0.000001																						-0.000001																																													-0.003772	0.003500					-1.119868	
 2 	 2																0.000000		1.120163													-0.000027																																																														0.000001																						-0.000001																																													-0.003769	0.003502					-1.119868	
 2 	 3																0.000000		1.120152													-0.000027																																																														0.000001																						-0.000001																																													-0.003763	0.003507					-1.119868	
 2 	 4																0.000000		1.120170													-0.000027																																																														0.000001																						-0.000001																																													-0.003774	0.003500					-1.119868	
 2 	 5																0.000000		1.120166													-0.000027																																																														0.000001																						-0.000001																																													-0.003771	0.003501					-1.119868	
 2 	 6																0.000000		1.120167													-0.000029																																																														0.000001																						-0.000001																																													-0.003771	0.003502					-1.119868	
 2 	 7																0.000000		1.120161													-0.000029																																																														0.000001																						-0.000001																																													-0.003768	0.003504					-1.119868	
 2 	 8																0.000000		1.120148													-0.000029																																																														0.000001																						-0.000001																																													-0.003760	0.003510					-1.119868	
 2 	 9																0.000000		1.120148													-0.000029																																																														0.000001																						-0.000001																																													-0.003760	0.003510					-1.119868	
 2 	 10																0.000000		1.120149													-0.000029																																																														0.000001																						-0.000001																																													-0.003761	0.003510					-1.119868	
 2 	 11																0.000000		1.120153													-0.000027																																																														0.000001																						-0.000001																																													-0.003764	0.003507					-1.119868	
 2 	 12																0.000000		1.120160													-0.000027																																																														0.000001																						-0.000001																																													-0.003768	0.003504					-1.119868	
 2 	 13																0.000000		1.120170													-0.000027																																																														0.000001																						-0.000001																																													-0.003773	0.003499					-1.119868	
 2 	 14																0.000000		1.120180													-0.000027																																																														0.000001																						-0.000001																																													-0.003778	0.003495					-1.119868	
 2 	 15																0.000000		1.120185													-0.000027																																																														0.000001																						-0.000001																																													-0.003781	0.003492					-1.119868	
 2 	 16																0.000000		1.120172													-0.000027																																																														0.000001																						-0.000001																																													-0.003774	0.003498					-1.119868	
 2 	 17																0.000000		1.120151													-0.000027																																																														0.000001																						-0.000001																																													-0.003763	0.003508					-1.119868	
 2 	 18																0.000000		1.120136													-0.000029																																																														0.000001																						-0.000001																																													-0.003754	0.003516					-1.119868	
 2 	 19																0.000000		1.120130													-0.000029																																																														0.000001																						-0.000001																																													-0.003751	0.003519					-1.119868	
 2 	 20																0.000000		1.120129													-0.000029																																																														0.000001																						-0.000001																																													-0.003750	0.003519					-1.119868	
 2 	 21																0.000000		1.120129													-0.000029																																																														0.000001																						-0.000001																																													-0.003750	0.003519					-1.119868	
 2 	 22																0.000000		1.120128													-0.000029																																																														0.000001																						-0.000001																																													-0.003750	0.003520					-1.119868	
 2 	 23																0.000000		1.120127													-0.000029																																																														0.000001																						-0.000001																																													-0.003749	0.003520					-1.119868	
 2 	 24																0.000000		1.120125													-0.000029																																																														0.000001																						-0.000001																																													-0.003748	0.003521					-1.119868	
 3 	 1																0.000000		1.119816													-0.000029																																																														0.000000																						-0.000001																																													-0.003591	0.003674					-1.119868	
 3 	 2																0.000000		1.119811													-0.000029																																																														0.000000																						-0.000001																																													-0.003588	0.003676					-1.119868	
 3 	 3																0.000000		1.119802													-0.000029																																																														0.000000																						-0.000001																																													-0.003584	0.003681					-1.119868	
 3 	 4																0.000000		1.119799													-0.000029																																																														0.000000																						-0.000001																																													-0.003582	0.003681					-1.119868	
 3 	 5																0.000000		1.119811													-0.000029																																																														0.000000																						-0.000001																																													-0.003588	0.003676					-1.119868	
 3 	 6																0.000000		1.119820													-0.000029																																																														0.000000																						-0.000001																																													-0.003592	0.003671					-1.119868	
 3 	 7																0.000000		1.119813													-0.000029																																																														0.000000																						-0.000001																																													-0.003589	0.003675					-1.119868	
 3 	 8																0.000000		1.119805													-0.000029																																																														0.000000																						-0.000001																																													-0.003586	0.003680					-1.119868	
